"Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","true_name","true_biotype"
"E2348C_0001",147.829772218253,0.616258039101931,0.245276244026486,2.51250601764509,0.0119877060595857,0.0783614419857001,"thrL","protein_coding"
"E2348C_0002",677.455693103668,-0.229062863537493,0.167441064527123,-1.36802082681688,0.171305557089042,0.424527487608393,"thrA","protein_coding"
"E2348C_0003",83.9887881896046,-0.492369460309006,0.304098628690077,-1.61911108389379,0.105423364417692,0.318675048358834,"thrB","protein_coding"
"E2348C_0004",237.797181584978,-0.518290994050083,0.197028712524238,-2.63053535401001,0.00852505021020002,0.0614160685300274,"thrC","protein_coding"
"E2348C_0005",19.1727014517911,-0.0535940126218525,0.556453113761932,-0.09631361797857,0.923271495785815,NA,"yaaX","protein_coding"
"E2348C_0006",227.221175850942,0.203815644480664,0.19699481493092,1.03462441157213,0.300844348974384,0.576950277614986,"yaaA","protein_coding"
"E2348C_0007",147.016332646729,0.511606239318775,0.236484314355973,2.16338339695828,0.0305117034973925,0.14783135215638,"yaaJ","protein_coding"
"E2348C_0008",1570.34374462456,-0.170023444797414,0.130104413599218,-1.30682303615899,0.191272819620838,0.451056383544598,"talB","protein_coding"
"E2348C_0009",113.248778491574,-0.0465573153498167,0.259130733360599,-0.17966728510365,0.857413778158502,0.941957172651576,"mog","protein_coding"
"E2348C_0011",101.977691845287,-0.270554421365197,0.267405306419412,-1.01177656116085,0.311644899305107,0.586628008852353,"yaaH","protein_coding"
"E2348C_0012",8.37010555303808,0.00326000731098332,0.855553909620177,0.00381040548623126,0.996959743649149,NA,"yaaW","protein_coding"
"E2348C_0014",1586.05830545577,-0.0745991328430331,0.160798039201109,-0.463930612672039,0.642697459353858,0.824587376141309,"dnaK","protein_coding"
"E2348C_0015",695.995322352449,-0.271906660853324,0.15321643173516,-1.77465731171265,0.0759544878974058,0.263257872410152,"dnaJ","protein_coding"
"EBG00001076582",153.403507716995,0.354178228930176,0.23623960919354,1.49923304622475,0.133813184856861,0.364275884183242,"sok","antitoxin"
"E2348C_0019",16.3184137254469,-0.0839581382740724,0.627880787694635,-0.133716686223731,0.893626609963797,NA,"E2348C_0019","protein_coding"
"E2348C_0020",37.328707350935,0.669473554490283,0.420332999074466,1.59272185615786,0.111222602204625,NA,"E2348C_0020","protein_coding"
"E2348C_0021",968.967580310391,0.340998726397857,0.139788315843421,2.43939362414106,0.0147119334044699,0.0895735414360642,"nhaA","protein_coding"
"E2348C_0022",416.777956404593,0.524351502821689,0.177575110829272,2.9528434495858,0.00314861597020468,0.0283672726188935,"nhaR","protein_coding"
"E2348C_0023",12151.3592632171,0.591812640617134,0.137960350238765,4.28972990857807,1.78890539983703e-05,0.000447551605486501,"rpsT","protein_coding"
"E2348C_0024",43.9991326025834,-0.233340135470725,0.379906235103391,-0.614204542884698,0.539080171767615,NA,"yaaY","protein_coding"
"E2348C_0025",964.199716916271,-0.0190707006791278,0.143693660773881,-0.132717759269407,0.894416597248072,0.956639905023978,"ribF","protein_coding"
"E2348C_0026",2122.23443346531,-0.386264213311469,0.138608199469802,-2.78673422487984,0.00532421258040857,0.0426159322607602,"ileS","protein_coding"
"E2348C_0027",205.35291929533,-0.435361651519675,0.208611672909877,-2.08694770262332,0.0368928621808382,0.166805576639598,"lspA","protein_coding"
"E2348C_0028",241.28068866708,-0.438012665680142,0.196709350301505,-2.22669977308542,0.0259673456145502,0.133210004841575,"fkpB","protein_coding"
"E2348C_0029",395.70857815062,-0.381660863519176,0.172005061747856,-2.21889320954204,0.0264939906012247,0.133537476436942,"ispH","protein_coding"
"E2348C_0030",80.4998515631115,-0.523805626050163,0.297580006775999,-1.76021780402893,0.0783708843863931,0.268254569441983,"rihC","protein_coding"
"E2348C_0031",336.276796462007,-0.211101734993325,0.175583651583061,-1.20228582268357,0.229252807866957,0.498451608943082,"dapB","protein_coding"
"E2348C_0032",283.931303200991,-0.476816183757107,0.214450982436293,-2.22342736946311,0.0261869958645684,0.133210004841575,"carA","protein_coding"
"E2348C_0033",684.1870800301,-0.588774371361976,0.148456444812306,-3.96597380535662,7.30968905181751e-05,0.00144999708309278,"carB","protein_coding"
"E2348C_0034",15.7328359903302,0.36404748721323,0.622469466766134,0.584843926730314,0.558652665013758,NA,"E2348C_0034","protein_coding"
"E2348C_0035",218.994062894723,0.411476718014175,0.212328692791117,1.93792328585084,0.0526325825597627,0.212071547883553,"caiF","protein_coding"
"E2348C_0036",10.8135524886205,0.491614699702351,0.750182485726449,0.655326815883057,0.512257359196715,NA,"caiE","protein_coding"
"E2348C_0037",15.2091061602695,-0.364992824809242,0.649660000344105,-0.561821298242028,0.574237779502124,NA,"caiD","protein_coding"
"E2348C_0038",77.5598188438194,0.28404022344972,0.29702740183284,0.956276160707794,0.338932730721059,0.611634672094659,"caiC","protein_coding"
"E2348C_0039",40.40260975235,-0.310033475812931,0.392766611901002,-0.789358021834798,0.429902783491569,NA,"caiB","protein_coding"
"E2348C_0040",117.518224814404,0.0339794725090732,0.246844824174606,0.137655195415553,0.890512931074614,0.95542102247106,"caiA","protein_coding"
"E2348C_0041",9.5277142923904,-0.102370418620223,0.835716559736346,-0.122494184694053,0.902507651253452,NA,"caiT","protein_coding"
"E2348C_0044",7.7506634726467,-1.07311003116893,0.886598238846571,-1.21036788045621,0.226137761102353,NA,"fixC","protein_coding"
"E2348C_0046",9.84426460277093,-0.196184113091306,0.818292030792987,-0.239748287541294,0.810525398359099,NA,"yaaU","protein_coding"
