"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000162591.16"	242	103	94	184	78	100	160	92	77
"ENSG00000158109.15"	2247	2206	1750	2482	2495	2248	1786	1747	1292
"ENSG00000116213.16"	327	302	296	245	307	269	224	242	188
"ENSG00000078900.15"	341	297	310	190	187	207	144	153	128
"ENSG00000235169.10"	137	111	128	91	71	58	78	42	37
"ENSG00000130764.10"	967	926	787	892	981	820	604	699	494
"ENSG00000272153.1"	20	17	38	27	18	19	10	16	6
"ENSG00000116198.14"	922	1081	1057	715	932	783	516	755	506
"ENSG00000169598.17"	157	158	165	54	66	64	54	61	47
"ENSG00000198912.11"	193	208	258	132	170	182	108	160	143
"ENSG00000236423.6"	405	540	431	97	171	134	91	132	79
"ENSG00000131697.18"	381	395	359	303	391	331	252	289	267
"ENSG00000069424.15"	308	348	292	189	193	202	165	178	99
"ENSG00000116251.11"	779	570	794	622	790	897	466	555	763
"ENSG00000158286.13"	997	556	683	404	504	393	348	421	344
"ENSG00000116237.16"	2422	2319	2138	1701	1721	1742	1251	1385	1038
"ENSG00000225077.3"	56	42	34	32	39	29	32	31	8
"ENSG00000158292.7"	435	217	257	414	184	117	172	128	217
"ENSG00000097021.19"	1122	894	843	986	888	939	941	725	425
"ENSG00000187017.17"	2161	2230	1656	2536	2293	1864	1889	1533	1013
"ENSG00000215788.11"	174	174	165	183	189	175	187	166	152
"ENSG00000171680.23"	528	413	454	492	470	394	392	376	355
"ENSG00000162408.11"	1140	1053	1050	623	943	760	530	743	485
"ENSG00000204859.13"	390	384	349	204	315	265	129	168	166
"ENSG00000162413.16"	826	733	678	664	627	689	679	645	341
"ENSG00000116273.6"	598	544	556	863	756	634	578	558	642
"ENSG00000041988.15"	243	174	188	277	268	262	247	227	145
"ENSG00000007923.16"	1051	1132	902	894	1116	1021	655	824	596
"ENSG00000237436.1"	8	13	11	4	1	1	7	5	0
"ENSG00000171735.19"	227	209	186	273	236	272	190	176	184
"ENSG00000049245.13"	996	923	1099	1088	1291	1116	628	864	837
"ENSG00000269925.1"	16	20	14	8	13	11	4	5	24
"ENSG00000049246.14"	1131	974	1193	840	1162	947	539	619	746
"ENSG00000116288.13"	389	396	412	313	372	315	207	182	234
"ENSG00000284747.1"	73	47	81	11	21	28	13	30	27
"ENSG00000116285.13"	245	142	234	1014	565	504	472	484	615
"ENSG00000142599.19"	4984	4809	4189	3734	4278	3736	2559	3114	2348
"ENSG00000232912.6"	11	7	8	5	5	5	4	3	3
"ENSG00000224315.2"	23	12	24	10	3	14	5	9	9
"ENSG00000222511.2"	24	11	15	6	12	6	11	9	4
