"geneid","baseMean.45","log2FoldChange.45","lfcSE.45","stat.45","pvalue.45","padj.45","baseMean.90","log2FoldChange.90","lfcSE.90","stat.90","pvalue.90","padj.90","baseMean.180","log2FoldChange.180","lfcSE.180","stat.180","pvalue.180","padj.180","true_name","true_biotype"
"E2348C_0001",351.806146827932,-0.30679098139956,0.530191133095815,-0.578642233430407,0.562830601450399,0.914806285857137,351.806146827932,-0.541462161069955,0.520885150085198,-1.03950393091719,0.298570430838184,0.893889153878224,351.806146827932,0.173308685800039,0.516434954460379,0.335586668375553,0.737182578662952,0.996638819788806,"thrL","protein_coding"
"E2348C_0002",64.5328398691519,-0.197062189453964,0.429381282493627,-0.458944526667598,0.646274002566331,0.940529147793694,64.5328398691519,-0.525524540930887,0.405098474823755,-1.29727602938896,0.194536229008292,0.831204038857545,64.5328398691519,-0.0859625048499516,0.35689024178228,-0.240865383207627,0.809659452531407,0.996638819788806,"thrA","protein_coding"
"E2348C_0003",17.8345875610403,1.68970463856875,0.882820249830901,1.91398491243535,0.0556220835829703,0.471562550593152,17.8345875610403,-0.172640287498114,0.628134900291178,-0.274845876925616,0.783434650157333,0.987326815948022,17.8345875610403,-0.958661367991031,0.48754113891693,-1.96631892463617,0.0492617821124189,0.504968978796124,"thrB","protein_coding"
"E2348C_0004",30.7021418554233,-0.679994459858936,0.501059156074118,-1.3571141283732,0.174744949957584,0.705093325776376,30.7021418554233,-0.481680154594545,0.470798852830867,-1.02311242199986,0.306254694317265,0.897348830749364,30.7021418554233,-0.412930163906266,0.368196377957477,-1.12149436720954,0.262077487841616,0.881082020936936,"thrC","protein_coding"
"E2348C_0005",10.1875859829073,4.78727024495301,1.20877604365303,3.96042779809357,7.48156120757063e-05,0.0147921153018254,10.1875859829073,-1.79146099086939,0.752956433343494,-2.37923591795933,0.0173485687879929,0.362673267957025,10.1875859829073,-0.909960403847384,0.502029902984953,-1.81256215702884,0.0698993789751442,0.564308974728255,"yaaX","protein_coding"
"E2348C_0006",15.4810075250889,-0.50027451493462,0.734700498547622,-0.680923064464468,0.495920173057709,0.893129052152373,15.4810075250889,-0.340124635784667,0.522456964142255,-0.651009861344402,0.515040121165907,0.950521396959008,15.4810075250889,0.346143119634374,0.436990417969059,0.792106887018477,0.428298354719213,0.956291645062275,"yaaA","protein_coding"
"E2348C_0007",5.70669886561482,1.8577279267396,1.8700023230326,0.993436159868991,0.320497447158247,0.822922713260052,5.70669886561482,0.329576689413285,1.23864381603335,0.266078662119935,0.79017862798695,0.987326815948022,5.70669886561482,1.00210644821802,1.09778818021132,0.912841353443169,0.361325985509777,0.946433865123447,"yaaJ","protein_coding"
"E2348C_0008",117.528869380213,0.406384616836651,0.31194938144465,1.30272615048848,0.192668270901203,0.721547631395803,117.528869380213,0.414242395702955,0.241511326855598,1.71520897630874,0.0863069197300625,0.660742319508758,117.528869380213,-0.202974036382175,0.195381114741798,-1.03886210625019,0.298868872100617,0.903446924994295,"talB","protein_coding"
"E2348C_0009",12.4081609600592,0.675177564500939,0.880509692155135,0.766803103380241,0.443198590961424,0.871288139049163,12.4081609600592,0.0389458533844532,0.69194552949145,0.0562845653661159,0.955115114395872,1,12.4081609600592,0.284918465195604,0.569458320892385,0.500332429507949,0.616841023101783,0.992162466153725,"mog","protein_coding"
"E2348C_0011",11.4739515809506,1.24726518864098,1.41456447784192,0.88173088479065,0.377922355118837,0.847670545030278,11.4739515809506,-1.37742967282185,1.08419807399058,-1.27045943528749,0.203921023513853,0.841664416762708,11.4739515809506,-0.57722159585972,1.01658279015143,-0.567805791571324,0.570166846795029,0.989135693534348,"yaaH","protein_coding"
"E2348C_0014",300.326728977456,0.0331846329412672,0.372955601175469,0.0889774354820706,0.929099842856247,0.991599299122516,300.326728977456,-0.507163040664569,0.331342675003131,-1.53063000611007,0.125860861444205,0.751662953390263,300.326728977456,-0.755579697144432,0.323317932318553,-2.33695573804421,0.0194414856743023,0.333585154419234,"dnaK","protein_coding"
"E2348C_0015",39.9698643636578,-1.31400038861499,0.529931350229324,-2.47956718930926,0.0131541944441199,0.258232696605134,39.9698643636578,-0.910608014623604,0.381859903378567,-2.384665178425,0.0170946718598255,0.362673267957025,39.9698643636578,-0.960953142742123,0.321015059276662,-2.99348306246885,0.00275812817292037,0.100825652133299,"dnaJ","protein_coding"
"EBG00001076582",63.1990273827878,0.162262850229915,0.505924741306831,0.320725271926378,0.748418593997667,0.956822591470215,63.1990273827878,-0.589422656192171,0.410728720914495,-1.43506559482816,0.15126840652651,0.787054103048537,63.1990273827878,0.391834297891943,0.394105220056554,0.994237776997004,0.320107120573887,0.916039876708939,"sok","antitoxin"
"E2348C_0020",2.45695536029409,0,2.05229713497598,0,1,NA,2.45695536029409,1.94882875838726,1.72476205272999,1.12991166248273,0.258513449214999,0.875664037531096,2.45695536029409,1.13586170191652,1.30475671255709,0.870554403732809,0.383997501813539,0.951777155359666,"E2348C_0020","protein_coding"
"E2348C_0021",113.809328828984,0.110981980414728,0.346876031957026,0.319947099799844,0.749008432474162,0.956822591470215,113.809328828984,0.0705059082772926,0.28625380760192,0.246305573602507,0.805445695719985,0.987784254243187,113.809328828984,0.439007999680324,0.258463447199759,1.69853031226124,0.0894077166022379,0.634351443826622,"nhaA","protein_coding"
