"4UIN"	"4UIWT"	"490WT"	"490N"	"4180N"	"4180WT"	"5UIN"	"5UIWT"	"545WT"	"545N"	"590WT"	"590N"	"5180N"	"5180WT"	"6UIWT"	"645WT"	"645N"	"690WT"	"690N"	"6180N"	"6180WT"	"445N"	"445WT"	"Gene_ID"
78	16	7	3	5	90	35	25	3	0	11	1	24	65	274	3	0	21	10	48	112	0	10	"E2348C_0088"
4417	695	151	85	75	2387	770	713	66	13	365	24	335	1759	3539	59	22	425	86	581	3291	61	181	"E2348C_0089"
123	22	26	13	18	177	25	14	6	8	44	11	102	321	27	12	4	56	5	111	491	8	18	"E2348C_0090"
178	26	56	24	20	297	17	16	7	3	93	10	104	421	60	23	4	60	5	157	704	5	15	"E2348C_0091"
94	20	25	9	15	179	19	8	7	2	57	8	65	217	48	19	0	23	7	62	382	1	26	"E2348C_0092"
138	19	46	13	19	256	19	19	13	9	65	5	120	365	26	19	3	43	10	168	785	4	16	"E2348C_0093"
185	31	34	12	23	262	13	14	15	4	72	10	106	402	41	15	6	40	6	143	737	3	32	"E2348C_0094"
90	8	14	10	10	143	12	9	14	0	43	10	81	290	29	7	0	13	9	75	387	1	16	"E2348C_0095"
140	24	26	17	15	226	18	17	8	4	61	7	94	389	61	11	10	37	9	125	533	8	8	"E2348C_0096"
152	24	35	7	13	178	13	14	3	3	61	6	85	355	46	15	3	44	9	134	490	2	26	"E2348C_0097"
131	15	27	8	10	165	12	10	14	2	60	9	79	312	39	5	6	22	1	118	455	3	15	"E2348C_0098"
234	42	41	29	30	266	16	18	12	6	80	10	160	587	39	14	4	44	13	183	818	6	22	"E2348C_0099"
178	41	73	15	39	405	17	41	16	2	135	20	249	744	61	14	11	66	17	306	1430	3	20	"E2348C_0100"
1807	232	418	228	132	3214	198	201	122	36	746	68	801	4253	638	112	40	539	75	1186	8324	42	292	"E2348C_0101"
236	38	67	19	20	604	10	17	14	3	143	9	143	629	99	9	13	88	20	228	1278	9	41	"E2348C_0102"
619	110	164	87	75	1089	64	61	21	7	324	43	479	1881	239	45	21	166	33	715	3101	16	70	"E2348C_0103"
15	1	2	2	0	16	0	4	0	0	4	0	6	28	6	3	0	3	1	7	35	0	2	"E2348C_0104"
15	2	4	4	1	27	5	2	1	0	11	0	5	37	7	1	1	7	0	11	64	1	2	"E2348C_0105"
25	1	4	1	4	59	10	2	2	0	6	1	21	72	10	4	1	11	7	37	136	1	3	"E2348C_0106"
65	13	19	17	4	106	7	5	5	2	34	0	42	222	28	4	2	16	5	64	365	2	9	"E2348C_0107"
90	10	59	14	13	418	2	2	7	4	80	12	126	560	16	6	2	40	9	174	1103	5	11	"E2348C_0108"
176	28	28	13	10	118	5	7	9	1	47	2	56	213	22	4	1	18	2	73	443	1	16	"E2348C_0112"
38	8	8	0	3	27	8	5	1	0	12	1	12	45	3	0	0	2	0	22	119	0	4	"E2348C_0113"
59	3	4	0	3	40	3	5	2	0	8	1	17	62	13	0	3	1	1	17	106	0	5	"E2348C_0114"
383	57	54	34	26	315	51	34	19	12	100	7	150	611	89	17	10	49	13	184	829	6	29	"E2348C_0115"
603	112	120	42	56	912	46	57	33	5	284	27	531	1934	270	23	7	120	26	553	3406	12	51	"E2348C_0116"
82	30	1	1	1	59	4	26	0	0	10	0	2	27	201	0	3	9	3	6	34	9	1	"EBG00001076649"
1917	299	363	172	187	2560	227	364	85	33	908	124	1122	3740	1035	95	50	479	102	1231	6752	45	190	"E2348C_0117"
1122	219	154	94	85	974	191	291	61	17	550	87	479	1537	639	49	25	163	47	524	1980	29	87	"E2348C_0118"
1436	224	253	85	97	1317	185	235	60	18	622	62	587	2223	621	73	37	229	59	700	3461	34	137	"E2348C_0119"
386	58	115	51	70	697	35	69	38	5	291	25	251	1139	146	25	8	130	32	334	2035	14	61	"E2348C_0121"
12	0	2	1	1	16	0	0	0	0	6	0	8	39	0	1	0	1	0	12	76	2	0	"E2348C_0122"
98	11	129	42	26	397	5	6	7	4	163	19	125	568	17	23	5	48	5	289	860	11	66	"E2348C_0123"
179	33	133	53	49	545	15	18	18	5	257	35	204	975	30	28	5	76	12	358	1482	15	78	"E2348C_0124"
428	81	140	79	43	719	12	70	41	9	187	20	184	1053	171	40	10	128	22	385	1575	14	115	"E2348C_0125"
36	7	7	1	5	48	1	5	5	2	18	0	21	77	7	1	3	10	0	33	130	1	5	"E2348C_0126"
77	8	16	6	11	95	2	7	6	1	30	1	44	221	26	4	3	9	7	63	257	5	23	"E2348C_0127"
179	45	76	32	14	356	8	12	6	1	157	10	110	573	53	28	13	41	14	220	1033	5	28	"E2348C_0128"
1296	167	338	146	93	1593	70	105	115	21	623	67	300	2587	249	137	67	457	104	913	3826	54	285	"E2348C_0129"
49	4	8	2	3	53	1	5	0	0	13	0	25	139	13	5	0	4	5	35	117	1	4	"E2348C_0130"
53	6	3	8	2	51	13	9	1	0	6	3	17	71	9	5	2	3	4	31	187	3	2	"E2348C_0131"
20	3	5	0	2	22	5	0	0	0	3	4	8	40	2	4	0	3	0	23	75	2	3	"E2348C_0132"
33	5	21	10	1	49	2	5	6	0	32	3	31	172	5	4	3	17	3	46	207	2	5	"E2348C_0133"
277	27	130	53	42	707	17	24	26	5	228	16	176	1144	70	30	8	121	14	412	2601	16	88	"E2348C_0134"
8	1	3	1	1	23	0	2	0	0	3	0	6	47	0	2	0	4	0	16	39	1	0	"E2348C_0135"
130	16	23	11	6	184	19	13	5	1	69	6	99	399	25	11	2	23	5	113	732	4	27	"E2348C_0136"
141	13	18	8	6	172	17	22	3	2	40	3	58	226	35	2	1	12	2	69	485	1	3	"E2348C_0137"
10	0	1	0	0	26	4	0	0	0	4	1	1	25	5	0	0	4	0	15	36	0	0	"E2348C_0138"
4	0	3	2	1	23	0	0	0	0	4	3	4	50	0	0	0	5	2	4	61	0	0	"E2348C_0144"
4	1	12	0	1	48	0	0	0	0	16	1	11	59	4	3	2	10	2	23	133	0	10	"E2348C_0145"
270	46	68	30	29	647	17	29	28	9	177	21	205	844	95	35	5	115	20	325	1793	18	18	"E2348C_0146"
12	4	9	4	8	75	3	2	0	1	26	2	19	94	19	0	0	7	2	32	231	0	5	"E2348C_0147"
540	120	405	92	93	2199	59	44	163	26	851	69	446	3369	89	153	42	769	64	1096	5391	37	192	"E2348C_0148"
125	19	28	10	12	195	9	9	11	0	41	0	50	318	23	12	1	12	7	109	381	5	23	"E2348C_0149"
10	2	4	2	1	25	0	3	1	0	13	0	7	34	3	0	0	6	0	8	71	0	2	"E2348C_0150"
96	12	16	23	17	136	10	6	4	5	36	2	62	253	51	6	4	25	7	79	387	6	24	"E2348C_0151"
201	37	51	23	34	304	29	23	10	6	117	17	125	582	104	18	7	56	21	227	1011	2	13	"E2348C_0152"
493	44	118	34	29	927	13	21	11	5	185	13	93	1408	102	26	10	140	26	389	1825	3	49	"E2348C_0153"
1	0	5	1	0	26	0	0	0	0	15	2	3	54	1	0	0	7	0	15	56	0	0	"E2348C_0154"
9	1	8	2	1	48	0	1	3	0	22	1	19	122	1	2	0	10	12	42	156	0	0	"E2348C_0155"
18	3	9	0	0	45	0	0	2	0	11	1	3	59	9	0	0	1	3	23	63	0	13	"E2348C_0156"
2190	329	266	59	58	2067	155	159	52	14	217	30	423	2187	572	84	50	169	43	984	3202	31	212	"E2348C_0157"
73	14	16	5	15	146	13	8	2	0	20	1	67	234	22	3	6	11	4	70	236	4	7	"E2348C_0158"
43	15	8	1	2	123	0	9	2	3	10	0	32	138	32	1	1	8	0	50	141	1	3	"E2348C_0159"
59	16	8	1	2	107	4	8	4	0	8	0	51	123	26	4	2	6	2	33	114	3	3	"E2348C_0160"
183	26	32	13	21	298	19	23	19	7	96	10	114	397	49	7	4	36	12	139	874	1	22	"E2348C_0161"
111	11	28	5	8	174	12	9	3	0	19	5	39	277	50	6	4	20	6	61	316	5	15	"E2348C_0162"
937	132	179	99	83	1787	51	65	42	4	348	26	238	1845	226	66	7	235	38	568	3621	26	97	"E2348C_0163"
26	7	21	6	2	66	0	1	5	0	40	6	21	141	11	2	0	21	1	57	276	0	14	"E2348C_0164"
19	6	13	5	3	39	1	1	0	0	11	1	12	58	4	4	0	7	1	17	86	0	0	"E2348C_0165"
243	48	86	21	18	549	67	38	26	8	172	16	146	694	296	23	7	73	10	226	1577	7	49	"E2348C_0166"
91	16	42	25	13	231	3	9	4	2	71	4	93	424	23	15	6	42	4	159	577	3	17	"E2348C_0167"
861	125	223	72	109	1228	67	62	19	6	333	34	558	2656	190	35	11	155	30	775	2692	12	69	"E2348C_0168"
35	7	13	0	8	69	0	3	3	0	14	1	38	136	20	1	0	3	2	37	146	2	1	"E2348C_0169"
285	31	45	24	14	207	23	16	15	2	73	9	68	463	35	12	3	35	9	134	684	3	22	"E2348C_0170"
673	91	250	142	115	1099	38	36	35	14	400	55	615	1867	98	78	42	182	41	1000	4092	23	139	"E2348C_0171"
109	13	9	0	8	41	14	10	1	1	13	3	15	64	38	1	3	5	3	23	141	3	6	"E2348C_0172"
654	121	196	50	67	937	26	39	33	2	275	26	210	1373	136	44	17	240	25	486	2394	14	77	"E2348C_0173"
3569	572	1914	648	421	6520	315	417	357	71	3453	369	2751	15114	675	532	167	787	156	5264	22838	152	1010	"E2348C_0174"
2314	523	908	325	233	3956	139	250	152	33	1698	219	1632	8800	445	299	124	570	96	2702	11835	92	343	"E2348C_0175"
195	33	47	26	34	315	22	30	13	1	107	18	168	738	57	17	5	38	8	275	1046	6	37	"E2348C_0176"
793	127	231	104	65	1081	71	89	66	6	421	51	478	2197	159	64	23	234	44	760	4048	4	109	"E2348C_0177"
199	34	32	14	9	129	15	23	9	1	46	2	60	250	49	12	2	25	10	68	396	9	18	"E2348C_0178"
307	55	97	25	23	451	14	30	16	9	208	7	148	1013	121	31	13	60	13	296	1287	8	28	"E2348C_0179"
154	29	57	18	15	314	4	15	15	1	60	4	63	410	40	12	0	28	17	159	712	2	32	"E2348C_0180"
465	79	92	40	44	680	56	59	24	7	190	16	280	1207	176	31	14	90	27	357	1878	17	56	"E2348C_0181"
1156	170	187	100	113	1126	105	162	38	14	348	52	520	2339	424	42	29	160	46	795	3434	20	73	"E2348C_0182"
1231	192	177	51	55	1028	138	102	16	11	391	29	436	2032	240	35	11	197	17	525	3827	19	44	"E2348C_0183"
1172	187	249	94	76	1536	86	131	41	21	563	53	524	2273	446	54	24	315	60	791	4564	17	92	"E2348C_0184"
221	30	51	17	14	416	33	37	9	3	106	18	113	585	94	7	7	58	18	147	957	2	37	"E2348C_0185"
267	40	68	38	46	327	41	30	18	3	165	26	216	739	77	11	4	45	7	293	1250	9	52	"E2348C_0186"
100	13	44	14	25	324	15	19	12	6	114	13	133	620	55	10	10	32	7	187	1041	14	19	"E2348C_0187"
38	11	9	3	2	66	6	5	6	0	25	1	32	117	22	4	0	9	0	32	193	1	3	"E2348C_0188"
446	79	146	70	58	843	45	74	25	4	289	27	247	1201	192	38	19	149	27	397	1936	22	72	"E2348C_0189"
389	65	180	69	44	923	25	26	39	9	382	34	344	1373	113	70	19	131	21	670	3030	13	64	"E2348C_0190"
22	6	7	1	1	26	3	5	1	1	7	0	11	67	6	0	0	7	0	17	111	0	3	"E2348C_0191"
47	8	8	5	4	75	6	1	1	3	9	1	16	92	33	0	2	8	0	29	155	2	4	"E2348C_0192"
32	10	22	8	6	79	5	4	1	2	25	1	36	167	18	3	3	8	2	48	274	4	7	"E2348C_0193"
34	7	8	3	7	55	2	3	1	2	30	5	19	129	3	5	2	25	1	26	246	2	2	"E2348C_0194"
117	24	28	4	13	102	7	9	5	0	49	6	32	225	29	9	1	43	4	60	430	2	12	"E2348C_0195"
41	2	12	4	5	76	0	5	4	0	22	5	10	102	20	11	5	15	2	29	172	0	6	"E2348C_0196"
18	1	9	2	2	13	0	7	2	0	8	0	3	27	6	0	0	3	0	12	42	0	3	"E2348C_0197"
65	11	10	5	7	52	3	3	3	0	24	3	27	111	19	1	2	7	0	23	150	4	2	"E2348C_0198"
12	2	8	2	2	26	2	5	0	0	15	0	1	43	5	0	0	8	4	10	64	0	0	"E2348C_0199"
422	68	175	81	40	902	52	63	39	16	371	42	399	1352	118	43	18	204	41	549	2744	11	91	"E2348C_0200"
45	0	10	2	5	35	4	10	2	0	8	1	27	64	48	0	0	4	1	18	101	1	4	"E2348C_0201"
95	20	21	10	6	121	10	6	2	1	32	3	33	153	28	3	0	14	1	41	360	0	11	"E2348C_0202"
365	52	135	61	56	643	21	30	42	5	244	50	281	1188	97	41	31	123	27	553	2090	24	128	"E2348C_0203"
34	4	11	8	3	78	4	4	8	1	40	6	49	149	6	4	3	15	2	63	253	6	19	"E2348C_0204"
83	8	23	15	7	173	5	9	7	3	40	3	57	179	23	8	3	16	10	108	529	3	20	"E2348C_0205"
84	12	38	20	5	169	6	8	12	3	62	4	70	272	24	15	4	21	3	115	401	3	20	"E2348C_0206"
43	6	37	4	26	69	70	17	9	7	77	7	337	510	10	0	3	7	0	28	114	5	19	"E2348C_rRNA_1"
25	1134	8	0	671	20	9	0	1	3	2	2	0	3	25	3	2	13	8	4	0	3	2	"EBG00001076662"
18	3	22	9	26	59	48	16	8	5	53	5	297	524	17	3	0	3	0	20	78	2	1	"E2348C_rRNA_2"
47	205	6	5	188	19	19	9	4	9	3	4	1	1	13	14	7	33	27	4	8	18	12	"EBG00001076683"
49	40	6	6	5	176	27	54	1	1	23	1	16	74	70	1	1	32	2	26	119	6	24	"E2348C_tRNA_03"
25	4	12	11	6	116	2	2	8	1	21	3	16	127	9	0	2	13	5	43	228	4	0	"E2348C_0207"
21	2	7	2	2	36	5	1	2	1	6	0	19	54	4	1	0	7	1	21	84	1	1	"E2348C_0208"
391	58	29	16	24	184	28	32	5	5	59	10	78	370	80	15	1	24	11	160	589	6	8	"E2348C_0209"
30	7	6	3	5	42	1	3	7	0	13	0	11	85	17	3	0	8	6	23	148	2	2	"E2348C_0210"
661	151	207	109	56	1909	59	58	41	6	362	27	423	2173	218	33	14	303	36	865	4743	24	84	"E2348C_0211"
73	11	17	10	5	102	1	8	0	0	19	2	21	186	7	1	3	14	0	71	290	3	5	"E2348C_0212"
74	14	27	15	8	167	1	6	5	0	45	4	35	249	32	14	0	36	4	82	437	3	10	"E2348C_0213"
108	15	46	15	8	143	12	7	13	2	38	10	38	234	12	17	5	41	2	125	408	1	19	"E2348C_0214"
240	42	82	24	17	476	0	15	17	3	142	11	85	584	49	18	11	94	14	220	1073	6	22	"E2348C_0215"
26	5	20	9	7	199	8	7	4	3	30	0	16	134	29	10	1	36	0	80	225	3	25	"E2348C_tRNA_04"
97	21	27	18	25	108	25	8	7	1	78	4	56	270	27	17	1	33	3	132	492	6	12	"E2348C_0216"
683	78	97	42	39	525	26	26	24	12	165	16	211	969	108	39	11	153	13	235	1630	17	58	"E2348C_0217"
12	3	7	1	2	25	6	0	1	0	7	1	6	28	8	1	1	7	0	8	61	1	0	"E2348C_0218"
155	18	54	18	17	336	13	26	17	4	88	7	129	551	36	19	3	40	10	193	1229	3	54	"E2348C_0219"
34	4	7	5	2	63	4	10	4	1	8	2	23	107	11	2	1	9	5	38	203	0	6	"E2348C_0220"
258	37	51	19	9	268	20	23	19	3	101	7	74	566	137	10	1	61	7	142	976	2	23	"E2348C_0221"
231	25	32	9	5	249	11	14	9	0	29	6	25	288	34	8	1	38	1	94	597	3	19	"E2348C_0223"
10	3	6	8	1	26	2	2	1	0	15	3	8	30	7	0	0	4	0	24	108	0	5	"E2348C_0226"
13	4	5	1	1	61	6	2	0	0	8	0	10	58	8	0	1	7	0	15	85	0	3	"E2348C_0228"
428	66	129	55	43	606	69	88	24	6	227	19	312	1160	121	34	11	72	18	373	1820	12	67	"E2348C_0230"
281	72	69	34	14	463	17	23	6	4	133	6	154	717	96	11	6	33	6	268	1600	2	62	"E2348C_0231"
105	19	20	6	3	88	1	12	2	0	42	5	45	181	39	2	0	18	0	51	390	0	8	"E2348C_0232"
172	16	143	38	25	580	11	13	23	5	238	22	93	1057	89	22	16	154	18	143	1554	9	57	"E2348C_0233"
6	0	2	1	3	16	0	0	7	0	19	4	30	53	0	5	1	6	0	30	76	1	5	"E2348C_0234"
63	12	20	11	9	139	15	7	10	3	46	1	78	227	35	9	1	20	3	90	499	5	17	"E2348C_0235"
69	13	26	14	15	202	12	15	8	0	60	8	85	281	31	9	4	25	3	120	641	4	11	"E2348C_0236"
97	36	55	24	15	567	35	48	11	1	83	10	54	407	242	8	5	56	18	99	672	3	46	"E2348C_tRNA_05"
258	42	35	11	8	341	21	26	2	2	64	1	75	471	112	3	2	27	4	182	993	4	20	"E2348C_0243"
64	2	1	4	0	68	9	2	1	0	3	3	10	67	36	0	1	10	0	16	126	0	1	"E2348C_0244"
112	10	6	2	2	18	9	6	1	5	7	0	5	26	32	0	0	2	1	5	39	2	1	"E2348C_0245"
269	38	8	1	1	33	32	28	3	2	22	0	19	60	61	5	1	14	0	12	77	0	16	"E2348C_0246"
343	61	8	2	2	31	49	45	19	1	16	5	15	55	105	8	1	6	0	10	68	3	24	"E2348C_0247"
105	18	2	0	1	11	8	19	2	2	4	2	3	18	18	0	3	0	0	2	12	5	7	"E2348C_0248"
2676	372	206	55	20	301	91	107	136	22	340	34	111	500	246	177	28	218	12	165	796	53	267	"E2348C_0249"
2076	236	65	23	19	137	131	165	45	13	78	7	41	363	549	36	21	42	3	111	216	20	83	"E2348C_0250"
33	1	5	1	2	44	6	2	2	1	14	1	3	63	10	1	2	13	1	14	51	2	13	"E2348C_0252"
6	0	2	0	1	202	0	1	0	0	1	0	23	182	3	0	0	2	1	163	14	0	0	"E2348C_0253"
3	0	10	2	0	840	0	0	1	0	5	0	113	643	5	1	0	12	2	857	46	0	5	"E2348C_0254"
20	1	3	0	1	33	2	0	0	0	2	0	1	25	9	0	0	2	1	8	54	0	0	"E2348C_0255"
12	1	4	1	1	41	1	3	0	0	1	0	8	40	3	0	1	5	3	13	103	0	6	"E2348C_0256"
19	0	5	2	8	56	0	0	0	0	13	2	4	84	2	0	0	14	1	24	148	1	2	"E2348C_0257"
8	1	3	1	3	26	1	1	1	0	1	0	5	39	3	4	0	4	0	9	60	0	0	"E2348C_0258"
18	2	2	4	0	10	0	3	0	1	3	0	9	28	3	0	0	1	0	20	32	0	0	"E2348C_0260"
15	5	2	2	1	24	3	0	0	0	3	0	2	32	6	1	1	1	3	15	65	1	2	"E2348C_0261"
56	6	12	7	6	103	5	5	0	0	14	1	22	122	14	0	0	20	2	27	183	2	2	"E2348C_0262"
403	43	21	11	1	180	15	43	8	0	27	1	20	209	115	7	7	26	3	96	370	5	6	"E2348C_0263"
4	0	3	3	2	42	0	1	1	0	6	0	9	43	3	0	0	2	2	22	94	1	7	"E2348C_0267"
29	4	0	0	1	8	1	0	2	0	7	0	8	28	15	0	1	3	0	7	29	0	1	"E2348C_0269"
14	1	4	1	0	38	0	5	0	0	5	0	8	25	14	0	0	5	2	7	38	0	1	"E2348C_0272"
51	4	15	4	3	62	2	11	5	0	31	3	27	98	15	5	6	10	4	27	144	2	4	"E2348C_0273"
37	9	9	3	9	70	2	8	0	2	26	3	18	121	27	2	3	11	3	23	136	2	2	"E2348C_0274"
