ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
ecg00920,Sulfur metabolism,21,0.8616671258617363,2.1188608046691395,3.4394901416378724e-7,2.5796176062284043e-5,2.3171302006823564e-5,142,"tags=48%, list=4%, signal=46%",E2348C_2608/E2348C_2609/E2348C_3026/E2348C_4221/E2348C_3022/E2348C_2610/E2348C_2607/E2348C_3025/E2348C_2600/E2348C_3027
ecg00780,Biotin metabolism,14,0.8395004188254969,1.8855166780252473,1.3278514772513173e-4,0.0049794430396924395,0.004472762870741279,21,"tags=36%, list=1%, signal=36%",E2348C_0726/E2348C_0730/E2348C_0728/E2348C_0727/E2348C_0729
ecg00630,Glyoxylate and dicarboxylate metabolism,26,0.6821284482180017,1.7723924775890756,0.0016164639445221298,0.02868761746793218,0.025768526567686457,480,"tags=42%, list=14%, signal=37%",E2348C_1553/E2348C_3115/E2348C_4317/E2348C_3156/E2348C_3507/E2348C_4197/E2348C_3157/E2348C_0600/E2348C_3155/E2348C_4195/E2348C_4196
ecg05130,Pathogenic Escherichia coli infection,24,0.692859958798678,1.7689553703231045,0.0017399366113822461,0.02868761746793218,0.025768526567686457,724,"tags=71%, list=21%, signal=56%",E2348C_3970/E2348C_1041/E2348C_3951/E2348C_0718/E2348C_3939/E2348C_3942/E2348C_3952/E2348C_1442/E2348C_3941/E2348_P1_003/E2348C_3231/E2348C_3930/E2348C_3944/E2348C_2916/E2348C_3932/E2348C_1444/E2348C_3934
ecg01240,Biosynthesis of cofactors,132,0.44927449668113745,1.5574707744049126,0.0021037083332582874,0.02868761746793218,0.025768526567686457,468,"tags=17%, list=14%, signal=16%",E2348C_0726/E2348C_0730/E2348C_0728/E2348C_0727/E2348C_2249/E2348C_0729/E2348C_0145/E2348C_4301/E2348C_0033/E2348C_2451/E2348C_0032/E2348C_0134/E2348C_2801/E2348C_1482/E2348C_0025/E2348C_1185/E2348C_0931/E2348C_2620/E2348C_0409/E2348C_3340/E2348C_4162/E2348C_2851/E2348C_0049
ecg00190,Oxidative phosphorylation,41,-0.5899270726248774,-1.7529246910921847,0.002487173422610412,0.02868761746793218,0.025768526567686457,253,"tags=37%, list=7%, signal=34%",E2348C_1201/E2348C_2428/E2348C_2426/E2348C_0616/E2348C_2422/E2348C_2424/E2348C_2416/E2348C_2423/E2348C_4482/E2348C_2420/E2348C_2418/E2348C_0964/E2348C_2417/E2348C_0618/E2348C_0963
ecg03070,Bacterial secretion system,35,0.6238262249855695,1.708768181269812,0.0026775109636736705,0.02868761746793218,0.025768526567686457,693,"tags=49%, list=20%, signal=39%",E2348C_3240/E2348C_3250/E2348C_3241/E2348C_3249/E2348C_3248/E2348C_3454/E2348C_3953/E2348C_3963/E2348C_4152/E2348C_3949/E2348C_3955/E2348C_3948/E2348C_3962/E2348C_0342/E2348C_3932/E2348C_3961/E2348C_3945
