ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
ecg00920,Sulfur metabolism,21,0.8872202552825845,2.3445148599034016,3.5615030589022194e-9,2.6711272941766645e-7,2.5117968941731443e-7,73,"tags=52%, list=2%, signal=52%",E2348C_2608/E2348C_3026/E2348C_2609/E2348C_4221/E2348C_3022/E2348C_2610/E2348C_2607/E2348C_3020/E2348C_3025/E2348C_3027/E2348C_2600
ecg05130,Pathogenic Escherichia coli infection,24,0.8009071147874866,2.19687703798558,1.8797376030276992e-6,7.049016011353872e-5,6.628548389623992e-5,405,"tags=67%, list=12%, signal=59%",E2348C_1442/E2348C_3970/E2348C_3934/E2348C_1041/E2348C_0718/E2348C_3930/E2348C_3932/E2348C_3939/E2348C_3231/E2348C_2916/E2348C_3951/E2348C_3942/E2348C_3952/E2348C_1042/E2348C_3232/E2348C_3941
ecg03070,Bacterial secretion system,35,0.6404374944910598,1.9025512448822772,4.1288536532683924e-4,0.010322134133170981,0.009706427886630958,646,"tags=43%, list=19%, signal=35%",E2348C_3250/E2348C_3249/E2348C_3240/E2348C_3248/E2348C_3241/E2348C_3932/E2348C_3454/E2348C_3243/E2348C_3953/E2348C_4152/E2348C_3948/E2348C_3955/E2348C_3949/E2348C_3242/E2348C_3963
