"geneid","baseMean.45","log2FoldChange.45","lfcSE.45","stat.45","pvalue.45","padj.45","baseMean.90","log2FoldChange.90","lfcSE.90","stat.90","pvalue.90","padj.90","baseMean.180","log2FoldChange.180","lfcSE.180","stat.180","pvalue.180","padj.180","true_name","true_biotype"
"E2348C_0001",351.806146827932,-1.01779057231803,0.518585444526121,-1.96262849846871,0.0496893568128865,0.166399016082006,351.806146827932,-1.66630970563209,0.515829565485578,-3.23034935786106,0.00123639039549857,0.00769827982102884,351.806146827932,-1.87285491153191,0.514235931652637,-3.6420148734317,0.000270512439430344,0.00239417452836031,"thrL","protein_coding"
"E2348C_0002",64.5328398691519,0.563577133972649,0.382088454909105,1.47499126637239,0.140214891468243,0.337628556122737,64.5328398691519,-0.59894034905326,0.373829979958185,-1.60217312993531,0.109117330151165,0.246804105208256,64.5328398691519,-0.36245200278795,0.359122026617344,-1.00927254783554,0.312843942007113,0.534746688328734,"thrA","protein_coding"
"E2348C_0003",17.8345875610403,0.0974429241303257,0.542653501055358,0.179567484482856,0.857492133320321,0.933823091347399,17.8345875610403,-1.20178573793578,0.526143982108216,-2.28413852253964,0.0223633912269319,0.0776833589988161,17.8345875610403,-1.29485498440476,0.492131831141588,-2.63111406836073,0.00851054658827792,0.0391234497779737,"thrB","protein_coding"
"E2348C_0004",30.7021418554233,-0.0677966087070578,0.425225204269374,-0.159436947825204,0.873324631048178,0.943277654183045,30.7021418554233,-1.05214779770035,0.401533938861123,-2.62032096386316,0.00878470436188012,0.0379444036573356,30.7021418554233,-0.951753194685427,0.371260407909966,-2.56357309965634,0.010360088240229,0.0456620567415836,"thrC","protein_coding"
"E2348C_0005",10.1875859829073,1.82746546694429,0.574487132251045,3.18103811965924,0.00146748318755266,0.0118413404016883,10.1875859829073,-1.71555620906748,0.625417397107271,-2.74305802333354,0.00608699287202083,0.028492307060523,10.1875859829073,-1.73623902416026,0.526391854879832,-3.29837745030576,0.000972453181800906,0.00700084743460023,"yaaX","protein_coding"
"E2348C_0006",15.4810075250889,1.0790572779588,0.615285965895638,1.75374921218636,0.0794734889903657,0.231644520160268,15.4810075250889,1.5547284185466,0.538218124552705,2.88865860814086,0.00386888859040452,0.0199178351768095,15.4810075250889,1.67004640594275,0.515537399718151,3.23942822936955,0.00119769604609397,0.00841081436050445,"yaaA","protein_coding"
"E2348C_0007",5.70669886561482,-3.00679168589818,1.48671505143468,-2.02243979637969,0.0431309372503454,0.150759520296714,5.70669886561482,-0.521728520252194,1.11741257640009,-0.466907685908656,0.640565926121136,0.786701732861834,5.70669886561482,-0.790116077516689,1.08593941475039,-0.727587623015139,0.466866059383032,0.685129378916497,"yaaJ","protein_coding"
"E2348C_0008",117.528869380213,0.404616964750652,0.228898090725336,1.76767295641696,0.0771155935674063,0.228039679223695,117.528869380213,0.350412133591781,0.20999091243024,1.6687014192016,0.0951765677566958,0.224839978705295,117.528869380213,0.139791203328705,0.202817870683378,0.689245000244259,0.490669102644793,0.703531398113662,"talB","protein_coding"
"E2348C_0009",12.4081609600592,0.209792960508227,0.696812168048847,0.301075340138894,0.763357044819087,0.882295342468994,12.4081609600592,0.339903649546658,0.620989085206188,0.547358492514887,0.584132465726603,0.745016057446405,12.4081609600592,0.400524007430593,0.594373574380436,0.673859042014262,0.500400933816006,0.710366600547402,"mog","protein_coding"
"E2348C_0011",11.4739515809506,1.54536778898271,1.18073991329073,1.30881303459604,0.190597690549048,0.404669006563051,11.4739515809506,1.19735214082048,1.11936931860253,1.06966674976879,0.284769338007005,0.481423573474957,11.4739515809506,2.11978905777838,1.0929150101208,1.93957356075115,0.0524315366285907,0.156565127637026,"yaaH","protein_coding"
"E2348C_0014",300.326728977456,-0.682271266382673,0.337528774678666,-2.02137215421769,0.0432412549979796,0.15093388418368,300.326728977456,-0.163658847030981,0.327188509777768,-0.50019741567985,0.616936077881494,0.770586319836839,300.326728977456,-0.302664712458573,0.32498099890587,-0.931330488482617,0.351682635537564,0.57453766433682,"dnaK","protein_coding"
"E2348C_0015",39.9698643636578,-1.16712333395448,0.439753203132226,-2.65404168893238,0.00795340000529888,0.0435570678990556,39.9698643636578,-0.470516231382262,0.356186047798496,-1.3209844526208,0.18650654828922,0.361404350765958,39.9698643636578,-0.297472724292758,0.336074316466147,-0.885139713801137,0.376081282382392,0.596794419455238,"dnaJ","protein_coding"
"EBG00001076582",63.1990273827878,-0.0217591182951826,0.42207482717131,-0.0515527505892956,0.958885068807481,0.982153727369972,63.1990273827878,0.0344308053177366,0.399310259438113,0.0862256966955614,0.93128700376689,0.961847601811795,63.1990273827878,-0.28991272948452,0.391963319437631,-0.739642499967783,0.459516946378464,0.678258545159109,"sok","antitoxin"
"E2348C_0020",2.45695536029409,0.0720797359177888,1.80754089140029,0.0398772366703965,0.968190999170284,NA,2.45695536029409,2.9827031627197,1.42481241882498,2.09340059316685,0.0363134095235537,0.111578058248239,2.45695536029409,3.02535281625481,1.37694090259904,2.1971551651522,0.0280093664066941,0.0992612634061791,"E2348C_0020","protein_coding"
"E2348C_0021",113.809328828984,1.26815191329605,0.299703006248131,4.23136200457768,2.32280483532161e-05,0.000454670314217146,113.809328828984,1.33233124669913,0.283400957734026,4.70122351509318,2.58607248855744e-06,3.95094407974053e-05,113.809328828984,1.70884321134826,0.277934707540014,6.14836206126664,7.82871676005651e-10,3.16280157106283e-08,"nhaA","protein_coding"
