geneid,4UIN,4UIWT,490WT,490N,4180N,4180WT,5UIN,5UIWT,545WT,545N,590WT,590N,5180N,5180WT,6UIWT,645WT,645N,690WT,690N,6180N,6180WT,445N,445WT
E2348C_tRNA_23,11.017490897554525,25.90898295178004,23.221363143381943,17.67406763957247,9.485162329245188,39.641011416559074,9.485162329245188,58.558291746815144,14.828915754172055,90.30547454539372,30.069163088162977,16.086001163523754,8.2777179609697,20.568360917051834,36.87128299219986,50.27527220869454,13.107463757999184,50.47692247271644,6.618620313445132,13.738733903962366,16.483731961522974,30.86017602895265,13.62657123356351
E2348C_1123,12.168685545005154,16.568994570245597,7.591867054721234,5.972012646250246,3.010282797296873,10.67316247730726,17.98736881347761,9.00133581544653,20.87458398781274,0,10.635856992345113,0,15.160952578838833,10.678289861279831,6.120079075496121,5.877218794722465,28.047025087009896,7.591867054721234,0,7.653030132704886,10.681692357269993,6.978382848279113,19.566838182429674
E2348C_1124,17.603061458848785,20.193353021729568,16.195635277938567,9.36347071185632,21.462201196943898,17.61027813426655,12.040415859725284,10.717293237777454,29.434019911681087,9.90537708340037,24.303473314910207,18.595061554531558,22.96421309407297,21.64989776836531,21.60192257186007,7.9408698004320755,7.459604964042254,18.88485472161517,14.567257354811026,27.015308839302897,20.307788888338035,6.236718904363196,2.6903493312939277
E2348C_1125,14.224064342487479,22.580491596585613,15.572444756400028,11.236214482487927,16.854036294313545,15.64179064466595,12.623401455634584,5.5957332578061125,6.850061386443255,0,18.428946138678203,16.648499266334113,21.256982956169466,18.46716013800872,1.5209190506232146,0,33.32195374547224,21.21403955625801,11.054985216641347,19.85986389608799,24.111461508014173,10.879509260821644,7.051533780162175
E2348C_1126,9.867354922756336,6.517595525925562,21.14033452509264,12.918442439471493,24.24148908242104,11.499378569130348,0,9.696910416620957,32.23301236271062,11.939772557693347,16.32224352356012,9.41985583328893,8.23197994006208,16.36821377837489,4.9712606131543735,9.571788991890362,0,9.801741880584427,4.569542583808564,13.107000832172533,19.614148843692394,0,12.971604754037216
E2348C_1127,18.003134862093315,14.838698279421736,3.148882525456036,2.958041160276882,5.916082320553764,0.2943324537588938,17.603952270916075,23.56734432614041,0,42.539449066838976,0.26891283275244393,0,0.2900040353212631,3.245928377822077,12.027737610382031,11.550446435366872,0,3.148882525456036,14.367628492773427,3.2290067627449934,0.29514823106975563,0,26.622370442491942
E2348C_1133,7.737038655157569,3.882451570055059,0.3529501427322782,0,0,0.36855014904088723,33.17152734892049,18.439492822744867,7.075046042951573,0,0.3369069544262655,0,0.3586428869698955,0.3682958011119422,18.766434184850276,0,0,7.5927323387773,0,0.365377964659471,0.36962495262514183,0,0
E2348C_1136,3.966129415101743,0.33075910223613353,7.490720844759493,0,0,0.36157516766186004,3.638350124597468,0,0,0,0.33075910223613353,0,0.3578705040587676,0.3627015700533301,7.53292208895532,14.20689096271392,0,0,0,0.3578705040587676,0.3629497691204285,16.8687142140428,3.638350124597468
E2348C_1137,4.188525352545676,2.1011221912114992,4.129210723370193,0,7.957769237389005,4.201023083776631,2.005616637065522,2.005616637065522,0,0,8.168571071492025,5.652192340821016,8.17195350257753,6.20771202486427,8.14894687672568,0,0,4.109068232036679,0,4.183902256130062,4.207171672263682,0,6.016849911196566
E2348C_1138,16.52094202156025,17.77986904220531,32.86301587325952,36.859680657329875,21.809410231159827,26.096731802407128,12.235202085231762,8.174816303804386,36.737830473338704,29.234803139136716,35.63136133143862,32.53646377334457,20.603280590032234,38.40354443554559,8.283092016437553,24.46966541897909,32.29722506912881,27.39485049401624,32.58115671808818,35.654039957490625,27.470829799457118,17.329227200121764,27.33872993403434
E2348C_1139,55.50700192153278,74.32454922856436,50.04185691953353,56.68722165805508,51.25868869392113,69.02320348514681,62.07983403454103,28.328584783147573,63.31449720269693,9.94811164791651,55.482522075421286,76.73697213823982,56.837514088011844,64.97448384588445,62.22690617379261,26.885802290115397,58.92343052996702,67.60352367845601,121.3859458818104,59.555317184443844,55.52058192175743,56.25116610683927,47.28423437589946
E2348C_1140,93.914773623213,84.1627214673138,66.26448391682331,88.23434492416747,88.20927716198439,63.57430964282081,84.07140267306046,81.35179071791421,63.25373974923225,29.49965132882502,84.23303578409178,117.00270791383667,103.55008496934397,75.99290478269018,100.77634886771048,42.61276834095503,46.372351440933556,51.09416733423942,88.04755022325257,85.63269333325171,71.85781880474732,83.63312315810133,55.17280188196536
E2348C_1142,0.1992974769550683,10.140367644791134,6.163752882127945,14.070848478018199,2.0214458376871214,4.234179388914969,0,0,0,0,4.198387509042483,0,10.260514180866858,8.278073085605762,4.17544550079635,0,11.209836008992218,0,0,4.2169234362347225,6.261176015461042,0,8.085783350748486
E2348C_1143,3.6465874760676975,0.30411060093427095,0.30411060093427095,0,3.345216610276979,0.3325653940041439,13.272956227873172,6.690433220553958,16.248194964202465,24.63295867567594,0.3237306397042237,0,3.6279109717088365,3.670327175981647,3.607586540494782,0,0,6.853614518616251,9.427428628962394,0.3308455988186024,3.6744130350220354,0,0
E2348C_1144,11.373608122410305,11.268357844817153,5.695912631070843,5.58107568286377,12.590335466900198,14.194335790080714,1.406612570477861,22.459301538539066,12.48797501594979,20.228428394491146,2.9174186646948224,12.387265540014711,7.141263819349141,11.385487007390255,18.367375076239846,8.303551625724145,13.530273296977521,18.34324628107328,29.31311134526702,9.96265010379818,9.982173091019115,31.855637625528026,8.439675422867165
E2348C_1145,13.874451217491897,20.65246601863657,57.83796469058723,30.215413243012037,12.314164919795529,24.889025665622444,8.187439947567077,8.227574457113976,30.10322730275332,40.40031842979821,55.12484362491406,74.01731950425089,17.984965730567918,24.893471192950184,2.848401094665596,45.25475920107234,38.025058708379596,45.45785083058678,10.78417030640016,33.131767752114825,23.520909500759714,43.539845304174115,38.521233851668065
E2348C_1146,19.653804834450586,7.534317533709559,6.071218680965352,19.480596457604697,14.955928945792694,6.147165874872849,1.5019391161970035,0,10.319775217740702,0,6.117169248087132,0,4.620469189522081,6.150540087146092,3.102366043292172,2.867338312739734,50.494770005102076,9.07928961232603,4.232737509282464,10.638438110450034,6.1533238171467,6.963535902367924,22.52908674295505
