"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"hsa-miR-1301-3p_hsa-mir-1301"	149	93	115	91	74	33	43	36	33
"hsa-miR-1303_hsa-mir-1303"	108	110	122	85	49	27	31	23	36
"hsa-miR-1304-3p_hsa-mir-1304"	422	377	334	440	183	144	167	110	154
"hsa-miR-1305_hsa-mir-1305"	47	49	61	49	36	8	12	14	20
"hsa-miR-1306-5p_hsa-mir-1306"	38	28	42	60	20	13	17	8	15
"hsa-miR-1306-3p_hsa-mir-1306"	6	5	14	18	8	2	10	5	3
"hsa-miR-1307-5p_hsa-mir-1307"	4712	4515	4497	7416	1638	867	1171	1002	1935
"hsa-miR-1307-3p_hsa-mir-1307"	1370	1094	1326	1305	605	157	356	282	469
"hsa-miR-130a-3p_hsa-mir-130a"	10	7	4	16	3	1	5	5	5
"hsa-miR-130b-5p_hsa-mir-130b"	1476	1330	1634	1977	662	548	407	338	545
"hsa-miR-130b-3p_hsa-mir-130b"	8169	6949	7631	10126	4790	1979	2893	2570	3291
"hsa-miR-132-5p_hsa-mir-132"	38	15	21	136	34	9	32	24	92
"hsa-miR-132-3p_hsa-mir-132"	196	162	202	1698	264	98	311	146	832
"hsa-miR-133a-5p_hsa-mir-133a-1"	6	7	7	5	6	6	4	3	2
"hsa-miR-133a-3p_hsa-mir-133a-1"	966	854	684	1060	479	266	291	247	233
"hsa-miR-133a-5p_hsa-mir-133a-2"	6	7	7	5	6	6	4	3	2
"hsa-miR-133a-3p_hsa-mir-133a-2"	966	854	684	1060	479	266	291	247	233
"hsa-miR-133b_hsa-mir-133b"	91	66	43	56	43	32	20	35	23
"hsa-miR-1343-3p_hsa-mir-1343"	9	7	13	13	6	6	6	3	14
"hsa-miR-135b-5p_hsa-mir-135b"	717	759	899	584	495	220	204	267	314
"hsa-miR-135b-3p_hsa-mir-135b"	47	23	32	26	16	5	18	8	16
"hsa-miR-138-5p_hsa-mir-138-1"	85	87	95	184	52	20	43	33	55
"hsa-miR-138-5p_hsa-mir-138-2"	83	81	88	182	50	20	44	34	50
"hsa-miR-139-5p_hsa-mir-139"	69	63	56	43	41	19	15	5	27
"hsa-miR-140-5p_hsa-mir-140"	338	399	411	224	189	78	92	98	134
"hsa-miR-140-3p_hsa-mir-140"	3856	3916	4133	2878	2123	900	1134	1200	1623
"hsa-miR-141-5p_hsa-mir-141"	1550	1228	1440	2032	602	269	434	377	558
"hsa-miR-141-3p_hsa-mir-141"	147446	146638	159254	93270	91323	49270	39804	49177	68737
"hsa-miR-142-5p_hsa-mir-142"	737	643	566	505	472	284	302	249	363
"hsa-miR-142-3p_hsa-mir-142"	73	85	59	42	62	24	25	33	37
"hsa-miR-143-3p_hsa-mir-143"	1008	997	672	570	522	239	329	322	249
"hsa-miR-144-5p_hsa-mir-144"	83	101	87	66	40	17	24	38	40
"hsa-miR-144-3p_hsa-mir-144"	25	16	15	12	8	6	0	5	9
"hsa-miR-1468-5p_hsa-mir-1468"	171	159	177	217	87	37	55	59	75
"hsa-miR-146a-5p_hsa-mir-146a"	2245	2331	2226	1108	1240	573	769	747	884
"hsa-miR-146b-5p_hsa-mir-146b"	280464	249637	209505	101901	127707	58605	89175	83206	89755
"hsa-miR-146b-3p_hsa-mir-146b"	1990	1666	1863	1818	890	282	541	453	657
"hsa-miR-147b-3p_hsa-mir-147b"	76	74	68	70	32	29	18	10	25
"hsa-miR-148a-5p_hsa-mir-148a"	73	100	63	74	57	24	28	34	39
"hsa-miR-148a-3p_hsa-mir-148a"	28533	24814	24606	12281	15549	9735	8496	8223	10496
"hsa-miR-148b-5p_hsa-mir-148b"	677	554	616	952	342	93	158	168	240
"hsa-miR-148b-3p_hsa-mir-148b"	18082	15724	19460	9667	10216	5829	5930	5695	7798
"hsa-miR-149-5p_hsa-mir-149"	111	68	94	248	50	28	43	38	48
"hsa-miR-150-5p_hsa-mir-150"	48	68	34	45	37	26	21	36	30
"hsa-miR-151a-5p_hsa-mir-151a"	31945	29255	31982	28286	18791	9575	8813	9126	13944
"hsa-miR-151a-3p_hsa-mir-151a"	53376	55356	54694	41202	30668	15581	17554	17225	23810
"hsa-miR-151b_hsa-mir-151b"	22750	20864	21982	16767	13452	7373	6112	6721	9837
"hsa-miR-152-5p_hsa-mir-152"	11	10	35	8	2	2	5	4	8
"hsa-miR-152-3p_hsa-mir-152"	938	836	1069	912	474	212	325	335	424
"hsa-miR-153-3p_hsa-mir-153-1"	18	21	24	9	8	8	8	2	5
"hsa-miR-153-3p_hsa-mir-153-2"	18	21	24	9	8	8	8	2	5
"hsa-miR-155-5p_hsa-mir-155"	2013	1772	1850	2148	1119	682	775	712	994
"hsa-miR-15a-5p_hsa-mir-15a"	3375	2997	3880	4083	1855	867	1076	927	1581
"hsa-miR-15b-5p_hsa-mir-15b"	2701	1955	2215	2934	1268	898	1200	921	1302
"hsa-miR-15b-3p_hsa-mir-15b"	270	268	283	325	218	94	102	75	189
"hsa-miR-16-5p_hsa-mir-16-1"	87475	69671	91373	98581	44842	19615	28775	26057	36766
"hsa-miR-16-5p_hsa-mir-16-2"	87628	69776	91542	98752	44926	19641	28832	26111	36835
"hsa-miR-16-2-3p_hsa-mir-16-2"	556	582	718	711	332	211	146	164	245
"hsa-miR-17-5p_hsa-mir-17"	5433	3645	4114	3452	2021	1040	1317	1040	1687
"hsa-miR-17-3p_hsa-mir-17"	995	649	737	549	419	291	213	232	277
"hsa-miR-181a-5p_hsa-mir-181a-1"	152505	165999	174800	196002	90715	28824	54260	59191	75445
"hsa-miR-181a-3p_hsa-mir-181a-1"	973	917	859	770	423	210	217	194	341
"hsa-miR-181a-5p_hsa-mir-181a-2"	152496	165998	174795	195998	90712	28824	54261	59190	75444
"hsa-miR-181a-2-3p_hsa-mir-181a-2"	267	233	238	366	101	61	89	64	102
"hsa-miR-181b-5p_hsa-mir-181b-1"	7586	7016	8119	11344	4009	1433	2932	2502	3553
"hsa-miR-181b-3p_hsa-mir-181b-1"	19	17	13	4	2	1	3	4	5
"hsa-miR-181b-5p_hsa-mir-181b-2"	7624	7053	8167	11347	4036	1437	2940	2504	3572
"hsa-miR-181c-5p_hsa-mir-181c"	1994	2993	2619	2364	1781	404	678	956	1114
"hsa-miR-181c-3p_hsa-mir-181c"	166	217	210	181	118	31	60	50	96
"hsa-miR-181d-5p_hsa-mir-181d"	302	385	458	277	207	59	91	139	185
"hsa-miR-182-5p_hsa-mir-182"	303642	320333	310049	261415	184259	78099	94738	98388	134349
"hsa-miR-182-3p_hsa-mir-182"	13	14	12	16	5	8	1	5	2
"hsa-miR-183-5p_hsa-mir-183"	47794	35522	34692	21160	24927	27797	12302	13728	16546
"hsa-miR-183-3p_hsa-mir-183"	192	146	138	238	88	39	62	50	83
"hsa-miR-184_hsa-mir-184"	1349	1507	1304	884	860	274	558	474	555
"hsa-miR-1843_hsa-mir-1843"	92	73	87	98	38	13	22	20	31
"hsa-miR-185-5p_hsa-mir-185"	295	280	251	173	131	56	43	56	85
"hsa-miR-185-3p_hsa-mir-185"	23	17	14	14	8	4	10	5	11
"hsa-miR-186-5p_hsa-mir-186"	70004	72103	77211	69954	42945	21888	22501	22230	32469
"hsa-miR-188-5p_hsa-mir-188"	57	35	58	103	15	17	12	9	12
"hsa-miR-188-3p_hsa-mir-188"	14	3	5	8	11	4	1	1	2
"hsa-miR-18a-5p_hsa-mir-18a"	989	833	816	763	441	258	244	280	321
"hsa-miR-18a-3p_hsa-mir-18a"	261	198	257	355	120	71	87	65	94
"hsa-miR-18b-5p_hsa-mir-18b"	55	37	55	25	23	14	15	10	15
"hsa-miR-1908-5p_hsa-mir-1908"	18	12	19	18	10	4	2	5	5
"hsa-miR-190a-5p_hsa-mir-190a"	4077	3137	3209	2180	1548	629	625	617	856
"hsa-miR-190a-3p_hsa-mir-190a"	31	24	29	21	10	8	4	10	12
"hsa-miR-190b-5p_hsa-mir-190b"	16	15	10	8	9	5	6	4	8
"hsa-miR-191-5p_hsa-mir-191"	226587	163192	162696	126569	110504	81943	62876	61430	79609
"hsa-miR-191-3p_hsa-mir-191"	33	17	22	61	6	12	1	4	12
"hsa-miR-1910-5p_hsa-mir-1910"	57	11	23	40	16	9	15	10	17
"hsa-miR-192-5p_hsa-mir-192"	13119224	13491183	12837050	8080101	7652846	3935141	3752142	4008083	5380628
"hsa-miR-192-3p_hsa-mir-192"	1484	1553	1709	1720	1005	307	596	557	781
"hsa-miR-193a-5p_hsa-mir-193a"	1090	1121	946	446	481	163	132	187	276
"hsa-miR-193a-3p_hsa-mir-193a"	56	76	83	611	41	18	21	32	53
"hsa-miR-193b-5p_hsa-mir-193b"	9	25	21	18	12	12	9	6	15
"hsa-miR-193b-3p_hsa-mir-193b"	704	611	685	690	431	206	240	230	338
"hsa-miR-194-5p_hsa-mir-194-1"	756865	862548	751893	812837	480979	154837	227183	253105	288981
"hsa-miR-194-5p_hsa-mir-194-2"	381904	410654	435314	504620	254559	89440	112658	129024	170929
"hsa-miR-194-3p_hsa-mir-194-2"	2152	2230	2067	1805	1111	419	567	580	709
"hsa-miR-195-5p_hsa-mir-195"	30	22	20	34	16	15	17	4	16
"hsa-miR-196a-5p_hsa-mir-196a-1"	9134	6997	7640	10789	3957	2349	3062	2333	3580
"hsa-miR-196a-1-3p_hsa-mir-196a-1"	19	16	8	14	5	10	2	6	6
"hsa-miR-196a-5p_hsa-mir-196a-2"	14098	10848	11829	17630	6326	3416	4978	3709	5559
"hsa-miR-196a-3p_hsa-mir-196a-2"	222	140	162	223	90	44	60	43	65
"hsa-miR-196b-5p_hsa-mir-196b"	1110	1204	1171	1207	738	308	447	376	524
"hsa-miR-197-3p_hsa-mir-197"	1511	1446	1578	1201	720	661	551	476	719
"hsa-miR-199a-5p_hsa-mir-199a-1"	15	11	13	6	8	5	5	5	1
"hsa-miR-199a-3p_hsa-mir-199a-1"	66	59	68	60	21	17	19	32	25
"hsa-miR-199a-5p_hsa-mir-199a-2"	15	11	13	6	8	5	5	5	1
"hsa-miR-199a-3p_hsa-mir-199a-2"	66	62	68	60	21	17	21	32	25
"hsa-miR-199b-5p_hsa-mir-199b"	14	15	25	16	10	2	6	6	8
"hsa-miR-199b-3p_hsa-mir-199b"	66	59	68	60	21	17	19	32	25
"hsa-miR-19a-5p_hsa-mir-19a"	25	16	24	21	11	6	15	7	14
