target_symbol	mature_mirna_id	target_ensembl	symbol
TGIF2	hsa-miR-1260a	ENSG00000118707	TGIF2
TULP4	hsa-miR-1248	ENSG00000130338	TULP4
DOT1L	hsa-miR-132-3p	ENSG00000104885	DOT1L
XPOT	hsa-miR-132-3p	ENSG00000184575	XPOT
RBCK1	hsa-miR-193a-5p	ENSG00000125826	RBCK1
SHROOM3	hsa-miR-132-3p	ENSG00000138771	SHROOM3
PRKAG2	hsa-miR-132-3p	ENSG00000106617	PRKAG2
TJP1	hsa-miR-132-3p	ENSG00000104067	TJP1
GK	hsa-miR-1260a	ENSG00000198814	GK
SLC7A1	hsa-miR-193a-5p	ENSG00000139514	SLC7A1
TJP1	hsa-miR-4485-3p	ENSG00000104067	TJP1
RASA4B	hsa-miR-1260a	ENSG00000170667	RASA4B
STARD7	hsa-miR-1248	ENSG00000084090	STARD7
DYNLL2	hsa-miR-1248	ENSG00000264364	DYNLL2
TXNRD1	hsa-miR-1248	ENSG00000198431	TXNRD1
GCNT3	hsa-miR-1260a	ENSG00000140297	GCNT3
IL4R	hsa-miR-1260a	ENSG00000077238	IL4R
YWHAZ	hsa-miR-1260a	ENSG00000164924	YWHAZ
CPEB2	hsa-miR-193a-5p	ENSG00000137449	CPEB2
MAPRE2	hsa-miR-4485-3p	ENSG00000166974	MAPRE2
SGK2	hsa-miR-1260a	ENSG00000101049	SGK2
FXYD3	hsa-miR-193a-5p	ENSG00000089356	FXYD3
EPS8	hsa-miR-132-3p	ENSG00000151491	EPS8
ZFAND5	hsa-miR-132-3p	ENSG00000107372	ZFAND5
ADCK3	hsa-miR-1260a	ENSG00000163050	ADCK3
DYNLL2	hsa-miR-132-3p	ENSG00000264364	DYNLL2
SEMA6A	hsa-miR-132-3p	ENSG00000092421	SEMA6A
MAF	hsa-miR-132-3p	ENSG00000178573	MAF
B3GNT8	hsa-miR-132-3p	ENSG00000177191	B3GNT8
HSPA9	hsa-miR-1248	ENSG00000113013	HSPA9
HIVEP2	hsa-miR-1260b	ENSG00000010818	HIVEP2
NCOA5	hsa-miR-1248	ENSG00000124160	NCOA5
EIF2AK3	hsa-miR-1248	ENSG00000172071	EIF2AK3
ATF3	hsa-miR-1248	ENSG00000162772	ATF3
SLC30A1	hsa-miR-132-3p	ENSG00000170385	SLC30A1
TNFRSF21	hsa-miR-193a-5p	ENSG00000146072	TNFRSF21
BCL10	hsa-miR-12136	ENSG00000142867	BCL10
EIF2AK3	hsa-miR-12136	ENSG00000172071	EIF2AK3
KLF6	hsa-miR-12136	ENSG00000067082	KLF6
SPRED1	hsa-miR-12136	ENSG00000166068	SPRED1
NAMPT	hsa-miR-12136	ENSG00000105835	NAMPT
CDCA4	hsa-miR-12136	ENSG00000170779	CDCA4
GPRC5B	hsa-miR-12135	ENSG00000167191	GPRC5B
XPOT	hsa-miR-12136	ENSG00000184575	XPOT
ZFP36L2	hsa-miR-12136	ENSG00000152518	ZFP36L2
MFSD6	hsa-miR-12135	ENSG00000151690	MFSD6
EREG	hsa-miR-12136	ENSG00000124882	EREG
AREG	hsa-miR-12136	ENSG00000109321	AREG
SPTBN1	hsa-miR-12136	ENSG00000115306	SPTBN1
CLCN3	hsa-miR-12136	ENSG00000109572	CLCN3
TJP1	hsa-miR-12136	ENSG00000104067	TJP1
TUBE1	hsa-miR-12136	ENSG00000074935	TUBE1
GPD2	hsa-miR-619-5p	ENSG00000115159	GPD2
SNX9	hsa-miR-12136	ENSG00000130340	SNX9
MYLIP	hsa-miR-12136	ENSG00000007944	MYLIP
GK	hsa-miR-12136	ENSG00000198814	GK
MAF	hsa-miR-12136	ENSG00000178573	MAF
DUSP8	hsa-miR-12136	ENSG00000184545	DUSP8
BCL9L	hsa-miR-1260a	ENSG00000186174	BCL9L
PIM1	hsa-miR-1260a	ENSG00000137193	PIM1
EFNB1	hsa-miR-1260b	ENSG00000090776	EFNB1
PIM1	hsa-miR-1260b	ENSG00000137193	PIM1
BCL9L	hsa-miR-1260b	ENSG00000186174	BCL9L
JHDM1D	hsa-miR-1260b	ENSG00000006459	JHDM1D
MXD4	hsa-miR-1260a	ENSG00000123933	MXD4
MXD4	hsa-miR-1260b	ENSG00000123933	MXD4
DYNLL2	hsa-miR-1260a	ENSG00000264364	DYNLL2
MAF	hsa-miR-1260a	ENSG00000178573	MAF
MAF	hsa-miR-1260b	ENSG00000178573	MAF
HOXA3	hsa-miR-1248	ENSG00000105997	HOXA3
JHDM1D	hsa-miR-1248	ENSG00000006459	JHDM1D
SPTBN1	hsa-miR-1248	ENSG00000115306	SPTBN1
DUSP8	hsa-miR-193a-5p	ENSG00000184545	DUSP8
JHDM1D	hsa-miR-1260a	ENSG00000006459	JHDM1D
PHLPP2	hsa-miR-193a-5p	ENSG00000040199	PHLPP2
JHDM1D	hsa-miR-193a-5p	ENSG00000006459	JHDM1D
PHF15	hsa-miR-193a-5p	ENSG00000043143	PHF15
LMO7	hsa-miR-1248	ENSG00000136153	LMO7
ITGA6	hsa-miR-1248	ENSG00000091409	ITGA6
HOXA3	hsa-miR-193a-5p	ENSG00000105997	HOXA3
SPRED1	hsa-miR-1248	ENSG00000166068	SPRED1
TRIB1	hsa-miR-193a-5p	ENSG00000173334	TRIB1
PKDCC	hsa-miR-1260a	ENSG00000162878	PKDCC
CREB5	hsa-miR-193a-5p	ENSG00000146592	CREB5
