"logFC","AveExpr","t","P.Value","adj.P.Val","B"
0.761042697501813,5.91704115369956,4.05182429959178,0.00136142613839819,0.0181858399298947,-1.30907835807309
0.289956627930053,2.07913083238556,0.885624506771598,0.391846759473022,0.606968450702755,-5.99190375442761
1.18453717900235,0.878069910916941,2.91863444776618,0.0119309232503489,0.0701774104733989,-2.77448117694647
0.223252408352981,7.90768401694967,1.19748516303392,0.252416217274024,0.467090968195255,-6.40863454716463
-0.960321172572721,4.76993762922473,-5.88131813825886,5.31565946835708e-05,0.00230451344616199,2.05975161490801
-0.50010491934372,5.46979710107647,-1.98814836511542,0.0681887298460217,0.21175883480011,-5.07974928192156
-0.457068274748654,8.26051041696095,-2.91768037344328,0.0119528356814747,0.0702423135826925,-3.65533425181242
-0.958573419986432,-0.897168094210632,-1.79195029945882,0.0963448430031156,0.262231828324269,-4.37438062569857
-0.120634652402461,2.68056562285649,-0.46024420397311,0.652915661546426,0.809418412367976,-6.37308734280659
1.09894855133621,2.03083331163745,3.03774885677843,0.00948578057628698,0.0611005795127382,-2.72572314398634
